time,voltage,prim,bis,channel,stim
0.0715,9.325662235076228e-06,-1.200937683333915e-08,-5.029748623769159e-08,0,a
0.0716,8.759815870965387e-06,-1.6064099682870723e-07,-2.9292864965958027e-08,0,a
0.0717,8.252037616812736e-06,1.1641923641219944e-07,8.674909217592381e-08,0,a
0.0718,9.674919944312828e-06,2.482378996944323e-07,2.1277523252003036e-07,0,a
0.0719,9.504529570048684e-06,4.776847007313838e-07,-3.8571045049450776e-08,0,a
0.072,9.685091719006887e-06,7.061012638472184e-10,-1.1811429159258032e-07,0,a
0.0721,9.677038248104366e-06,-1.0610497508330873e-07,-3.8825139327309536e-07,0,a
0.0722,9.186214644798758e-06,-6.870694790879022e-07,-4.144121895062736e-09,0,a
0.0723,7.623883281743182e-06,-1.1726264421341095e-08,2.2233566924536178e-07,0,a
0.0724,9.641859454840343e-06,5.609020326527767e-07,4.134944930138589e-07,0,a
0.0725,1.0868920742757088e-05,5.534139999536745e-07,1.2145794817748125e-07,0,a
0.0726,9.284125281604204e-06,3.526475801111028e-07,-3.210941606959987e-07,0,a
0.0727,1.0699802195173651e-05,-4.0238044943521937e-07,-8.849170852929458e-08,0,a
0.0728,9.661779394451431e-06,2.8793887436579077e-07,-1.416147582731574e-07,0,a
0.0729,1.0147941904701576e-05,-7.219669470836941e-08,2.903881206142332e-07,0,a
0.073,1.0483212111048541e-05,4.687839124074802e-07,-2.8256269614474e-09,0,a
0.0731,1.1068131131673875e-05,2.7946199348144857e-07,2.1918026737192346e-07,0,a
0.0732,1.098632788514592e-05,5.85344107407401e-07,-1.0497477249234125e-07,0,a
0.0733,1.2239244433270746e-05,1.5385959493045647e-07,-1.0601095184722148e-07,0,a
0.0734,1.1529709916465245e-05,-3.85708620602159e-08,-4.14766050987625e-07,0,a
0.0735,1.0870615298965271e-05,-6.589540455554741e-07,-2.828998003471755e-07,0,a
0.0736,1.0262382296604324e-05,-6.9483980611107e-07,2.6184739699080775e-08,0,a
0.0737,9.445190498132034e-06,3.9983357037026476e-08,3.9103028278547424e-07,0,a
0.0738,1.0990565370076352e-05,5.141368028009486e-07,4.0143789270060033e-07,0,a
0.0739,1.180479270500717e-05,5.09473871990731e-07,1.101555027963075e-07,0,a
0.074,1.0973612114104227e-05,3.7044986542594897e-07,-2.71597114748489e-07,0,a
0.0741,1.2101914966354199e-05,-3.0065454144451833e-07,6.70634311342624e-08,0,a
0.0742,1.0902829080673613e-05,7.106641653935181e-07,-2.3005931931173812e-07,0,a
0.0743,1.3105604610284782e-05,-3.1972809250926536e-07,2.4762558256790543e-07,0,a
0.0744,1.1142730688826403e-05,4.4222220625919807e-07,-3.5250644448302275e-07,0,a
0.0745,1.2229495699451207e-05,-3.4685516805555013e-07,5.232251639972049e-08,0,a
0.0746,1.2065039106118131e-05,-1.6276054331010392e-07,-2.2426650355551002e-07,0,a
0.0747,1.065444905889609e-05,-2.30577304407332e-07,8.665483476851224e-08,0,a
